age,job_blue-collar,job_entrepreneur,job_housemaid,job_management,job_retired,job_self-employed,job_services,job_student,job_technician,job_unemployed,marital_single,marital_married,marital_divorced,education,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y,is_duplicate,duplicate_with
56,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0,,
57,0,0,0,0,0,0,1,0,0,0,0,1,0,4,-1,0,0,0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0,,
37,0,0,0,0,0,0,1,0,0,0,0,1,0,4,0,1,0,0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0,,
40,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0,,
56,0,0,0,0,0,0,1,0,0,0,0,1,0,4,0,0,1,0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0,,
45,0,0,0,0,0,0,1,0,0,0,0,1,0,3,-1,0,0,0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0,,
59,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0,,
41,1,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0,,
24,0,0,0,0,0,0,0,0,1,0,1,0,0,5,0,1,0,0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0,,
25,0,0,0,0,0,0,1,0,0,0,1,0,0,4,0,1,0,0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0,,
41,1,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0,Duplicate,Row 7
25,0,0,0,0,0,0,1,0,0,0,1,0,0,4,0,1,0,0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0,Duplicate,Row 9
29,1,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,1,0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0,,
57,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0,,
35,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0,,
54,0,0,0,0,1,0,0,0,0,0,0,1,0,3,-1,1,1,0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0,,
35,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0,Duplicate,Row 14
46,1,0,0,0,0,0,0,0,0,0,0,1,0,2,-1,1,1,0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0,,
50,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,1,0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0,,
39,0,0,0,1,0,0,0,0,0,0,1,0,0,3,-1,0,0,0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0,,
30,0,0,0,0,0,0,0,0,0,1,0,1,0,4,0,0,0,0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0,,
55,1,0,0,0,0,0,0,0,0,0,0,1,0,1,-1,1,0,0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0,,
